RANK,PLAYER,PONTUAÇÃO
1,Lanza,21.742.900
2,escort13,15.067.751
3,-pRoFeTaS sEm ReGiStRo.0,12.118.614
4,Major Degurechaff,10.464.166
5,-Líder Inativo-,10.278.357
6,Ragnarokk,9.686.452
7,Chuuckzin e Los ImundoS,8.976.591
8,Veaga Brum,8.489.492
9,Greatfullded Bolado,8.170.134
10,= ANNE BONNY =,7.869.109
11,Eduardo M,7.803.564
12,- KOMMANDANT KRIEGER -,7.453.737
13,Pinky and Brain,7.160.718
14,Math1604,6.918.613
15,DANTHIX,6.716.955
16,frajola90,6.454.215
17,Sasuke Uchiha,6.263.952
18,Stan Lee,6.263.484
19,spartan chef,5.997.349
20,tsw1,4.975.602
