RANK,PLAYER,PONTUAÇÃO
1,Lanza,1.840.191
2,Gostosao sz,1.374.875
3,Sasuke Uchiha,1.303.448
4,Rafagsm,1.265.630
5,botafogo25,1.255.342
6,spartan chef,1.245.428
7,BOB o Paaa-piii,1.216.348
8,escort13,1.195.427
9,Million Miles,1.106.161
10,aleventure,1.101.935
11,Shaco Demoníaco,1.049.351
12,Stan Lee,997.430
13,Major Degurechaff,978.904
14,Cappelletti2019,964.822
15,josebrunoms,960.135
16,Greatfullded Bolado,934.553
17,SuperDelown,929.409
18,wilson,918.088
19,liminha9real,864.235
20,wiikipedia,844.826
